name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Osun, Ekiti, Nigeria",2021-01-01,96.5,69.0,81.1,93.3,69.0,79.9,59.1,57.1,0.0,0,0.0,,0,0,12.5,6.9,231.8,1010.1,42.3,,251.5,21.7,9,,2021-01-01T06:53:17,2021-01-01T18:33:21,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2021-01-02,95.8,71.1,81.5,95.1,71.1,81.6,66.1,66.5,0.0,0,0.0,,0,0,16.8,7.6,208.8,1010.8,55.2,,235.8,20.3,9,,2021-01-02T06:53:42,2021-01-02T18:33:52,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2021-01-03,93.6,71.1,81.3,94.3,71.1,81.4,66.5,66.9,0.0,0,0.0,,0,0,15.0,6.0,192.1,1010.6,54.0,,209.0,17.9,8,,2021-01-03T06:54:06,2021-01-03T18:34:24,0.65,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2021-01-04,97.4,72.9,82.7,95.2,72.9,81.8,61.1,58.6,0.0,0,0.0,,0,0,21.7,8.1,42.6,1009.6,32.1,,233.1,20.1,8,,2021-01-04T06:54:29,2021-01-04T18:34:55,0.69,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2021-01-05,95.8,70.6,81.9,93.6,70.6,81.1,61.7,58.4,0.0,0,0.0,,0,0,15.2,7.2,184.4,1009.0,41.0,6.2,229.3,19.7,8,,2021-01-05T06:54:51,2021-01-05T18:35:26,0.72,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2021-01-06,99.1,70.8,83.2,95.7,70.8,82.1,61.8,59.3,0.0,0,0.0,,0,0,19.5,8.3,150.5,1009.8,44.0,,227.6,19.6,8,,2021-01-06T06:55:13,2021-01-06T18:35:57,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2021-01-07,96.3,72.1,82.6,93.4,72.1,81.7,61.7,58.3,0.0,0,0.0,,0,0,20.4,8.1,177.0,1010.5,91.1,,217.3,18.7,8,,2021-01-07T06:55:34,2021-01-07T18:36:28,0.8,Overcast,Cloudy skies throughout the day.,cloudy,remote
"Osun, Ekiti, Nigeria",2021-01-08,95.4,72.1,81.9,93.6,72.1,81.6,64.5,63.9,0.0,0,0.0,,0,0,16.1,6.5,207.7,1010.9,97.5,,224.2,19.4,8,,2021-01-08T06:55:55,2021-01-08T18:36:58,0.83,Overcast,Cloudy skies throughout the day.,cloudy,remote
"Osun, Ekiti, Nigeria",2021-01-09,96.9,70.2,82.9,95.2,70.2,82.1,63.0,59.8,0.0,0,0.0,,0,0,13.0,6.7,215.1,1010.2,58.0,,241.5,21.0,9,,2021-01-09T06:56:14,2021-01-09T18:37:29,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2021-01-10,96.3,71.1,81.7,95.5,71.1,81.6,65.0,64.0,0.0,0,0.0,,0,0,16.6,6.9,213.5,1009.6,35.7,,232.6,20.1,9,,2021-01-10T06:56:33,2021-01-10T18:37:59,0.9,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2021-01-11,95.1,70.6,81.9,93.5,70.6,81.2,62.7,60.5,0.0,0,0.0,,0,0,13.2,6.0,216.6,1009.5,59.3,,220.1,19.1,8,,2021-01-11T06:56:51,2021-01-11T18:38:28,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2021-01-12,94.7,71.5,82.1,91.8,71.5,80.8,58.0,53.9,0.0,0,0.0,,0,0,16.8,8.1,329.8,1010.7,23.8,,241.3,20.9,9,,2021-01-12T06:57:08,2021-01-12T18:38:58,0.97,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2021-01-13,96.3,70.4,81.6,92.2,70.4,80.1,53.6,48.7,0.0,0,0.0,,0,0,15.7,6.3,316.3,1011.6,21.6,,260.0,22.6,9,,2021-01-13T06:57:24,2021-01-13T18:39:27,0.0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2021-01-14,95.4,69.7,80.9,92.3,69.7,79.7,56.9,53.5,0.0,0,0.0,,0,0,13.2,7.4,250.4,1011.4,28.2,,254.3,21.9,9,,2021-01-14T06:57:40,2021-01-14T18:39:55,0.04,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2021-01-15,96.0,68.8,80.8,92.6,68.8,79.3,53.3,47.8,0.0,0,0.0,,0,0,12.1,6.3,241.5,1010.1,27.5,,255.6,22.0,9,,2021-01-15T06:57:54,2021-01-15T18:40:23,0.07,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2021-01-16,96.3,70.6,80.6,92.0,70.6,79.1,56.3,54.0,0.0,0,0.0,,0,0,16.1,6.7,214.0,1009.3,53.0,,252.2,21.6,9,,2021-01-16T06:58:08,2021-01-16T18:40:51,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2021-01-17,94.6,69.0,80.8,91.6,69.0,79.6,58.7,57.5,0.0,0,0.0,,0,0,14.8,5.8,207.4,1009.9,23.9,,247.9,21.5,9,,2021-01-17T06:58:20,2021-01-17T18:41:18,0.14,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2021-01-18,94.0,66.6,80.3,91.3,66.6,79.1,58.7,56.5,0.0,0,0.0,,0,0,11.4,5.4,221.7,1010.2,35.6,,242.2,20.9,9,,2021-01-18T06:58:32,2021-01-18T18:41:45,0.17,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2021-01-19,96.0,69.3,82.1,91.5,69.3,80.2,50.8,45.8,0.0,0,0.0,,0,0,17.9,7.2,356.5,1011.2,26.6,,262.2,22.6,9,,2021-01-19T06:58:43,2021-01-19T18:42:12,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2021-01-20,94.4,65.7,80.0,90.4,65.7,78.5,41.7,27.0,0.0,0,0.0,,0,0,17.7,6.7,45.5,1010.8,28.4,,267.5,23.3,9,,2021-01-20T06:58:53,2021-01-20T18:42:37,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2021-01-21,95.1,66.6,80.1,90.4,66.6,78.3,37.0,23.3,0.0,0,0.0,,0,0,17.9,7.6,46.0,1011.0,65.8,,268.9,23.3,9,,2021-01-21T06:59:02,2021-01-21T18:43:03,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2021-01-22,92.9,63.8,78.7,88.5,63.8,77.0,35.9,24.6,0.0,0,0.0,,0,0,15.0,6.9,25.8,1011.3,30.9,,269.1,23.3,9,,2021-01-22T06:59:10,2021-01-22T18:43:27,0.3,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,remote
