name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Osun, Ekiti, Nigeria",2017-01-01,92.7,60.5,78.5,88.7,60.5,77.3,44.4,33.0,0.0,0,0.0,,0,0,17.2,8.1,37.3,1010.7,53.2,5.6,256.0,22.2,9,,2017-01-01T06:53:15,2017-01-01T18:33:19,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2017-01-02,93.3,64.8,79.0,89.4,64.8,77.5,43.3,29.4,0.0,0,0.0,,0,0,15.0,6.7,40.9,1011.3,10.4,,257.6,22.3,9,,2017-01-02T06:53:39,2017-01-02T18:33:50,0.15,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2017-01-03,94.4,59.3,79.5,90.1,59.3,77.9,44.1,31.9,0.0,0,0.0,,0,0,18.1,11.4,35.3,1011.1,11.6,2.7,258.3,22.5,9,,2017-01-03T06:54:03,2017-01-03T18:34:21,0.18,Clear,Clear conditions throughout the day.,clear-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2017-01-04,94.2,65.4,79.9,90.3,65.4,78.4,43.1,29.1,0.0,0,0.0,,0,0,15.9,8.1,29.0,1010.8,3.8,5.0,259.8,22.5,9,,2017-01-04T06:54:26,2017-01-04T18:34:53,0.22,Clear,Clear conditions throughout the day.,clear-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2017-01-05,94.4,65.6,80.9,90.5,65.6,79.2,44.5,29.7,0.0,0,0.0,,0,0,13.6,5.1,37.8,1009.9,4.9,,257.1,22.2,9,,2017-01-05T06:54:49,2017-01-05T18:35:24,0.25,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2017-01-06,95.3,65.9,80.5,91.3,65.9,79.0,46.3,32.9,0.0,0,0.0,,0,0,17.4,8.1,50.6,1009.6,57.7,3.5,253.4,22.0,9,,2017-01-06T06:55:11,2017-01-06T18:35:55,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2017-01-07,93.8,65.2,79.6,91.5,65.2,78.6,57.0,52.1,0.0,0,0.0,,0,0,15.7,8.1,166.5,1011.0,75.1,5.0,244.5,21.2,9,,2017-01-07T06:55:32,2017-01-07T18:36:25,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2017-01-08,96.5,65.7,80.0,92.1,65.7,78.6,53.5,50.6,0.0,0,0.0,,0,0,18.1,8.1,350.6,1011.1,44.9,5.0,254.7,22.2,9,,2017-01-08T06:55:52,2017-01-08T18:36:56,0.36,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2017-01-09,95.4,62.0,80.3,90.7,62.0,78.5,38.6,25.9,0.0,0,0.0,,0,0,16.1,8.1,32.5,1009.8,56.8,1.2,259.9,22.5,9,,2017-01-09T06:56:12,2017-01-09T18:37:26,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2017-01-10,94.0,64.3,78.2,89.6,64.3,76.6,39.9,27.9,0.0,0,0.0,,0,0,11.9,6.9,352.9,1008.7,5.4,3.1,262.9,22.8,9,,2017-01-10T06:56:31,2017-01-10T18:37:56,0.43,Clear,Clear conditions throughout the day.,clear-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2017-01-11,90.6,66.6,77.7,89.4,66.6,77.5,62.3,64.3,0.0,0,0.0,,0,0,20.4,9.2,217.4,1009.4,21.9,6.2,226.6,19.5,8,,2017-01-11T06:56:49,2017-01-11T18:38:26,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65215099999,remote"
