name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Osun, Ekiti, Nigeria",2019-01-01,94.4,63.8,78.2,90.1,63.8,76.7,42.7,31.7,0.0,0,0.0,,0,0,19.0,10.3,37.7,1013.5,3.8,3.1,256.6,22.2,9,,2019-01-01T06:53:03,2019-01-01T18:33:04,0.84,Clear,Clear conditions throughout the day.,clear-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2019-01-02,96.5,63.4,79.2,94.4,63.4,77.7,41.5,28.2,0.0,0,0.0,,0,0,16.3,12.8,42.9,1013.3,74.4,5.0,255.0,22.1,9,,2019-01-02T06:53:28,2019-01-02T18:33:35,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2019-01-03,94.0,66.3,79.2,89.7,66.3,77.7,41.5,28.1,0.0,0,0.0,,0,0,19.5,10.3,56.0,1012.2,52.9,5.0,254.9,22.1,9,,2019-01-03T06:53:52,2019-01-03T18:34:07,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2019-01-04,93.3,64.5,79.1,89.2,64.5,77.6,41.9,28.8,0.0,0,0.0,,0,0,17.2,6.9,24.1,1012.1,9.0,,255.1,22.0,9,,2019-01-04T06:54:16,2019-01-04T18:34:38,0.94,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2019-01-05,93.1,68.1,79.9,88.8,68.1,78.5,40.4,26.1,0.0,0,0.0,,0,0,20.1,7.8,25.7,1012.6,14.2,,256.0,22.1,9,,2019-01-05T06:54:39,2019-01-05T18:35:09,0.98,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2019-01-06,93.5,65.6,78.1,89.7,65.6,76.7,42.4,30.0,0.0,0,0.0,,0,0,15.9,7.2,43.3,1012.4,23.4,,257.2,22.1,9,,2019-01-06T06:55:01,2019-01-06T18:35:40,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2019-01-07,90.9,63.6,77.7,86.9,63.6,76.4,41.4,29.8,0.0,0,0.0,,0,0,14.5,6.0,47.5,1012.3,34.2,,256.7,22.2,9,,2019-01-07T06:55:23,2019-01-07T18:36:11,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2019-01-08,92.0,63.6,77.1,87.7,63.6,75.8,38.6,26.8,0.0,0,0.0,,0,0,17.9,6.9,30.2,1011.6,44.7,,255.9,22.1,9,,2019-01-08T06:55:43,2019-01-08T18:36:42,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2019-01-09,94.0,66.8,79.4,90.1,66.8,77.9,40.4,26.3,0.0,0,0.0,,0,0,16.6,6.9,52.4,1010.7,11.9,,257.7,22.3,9,,2019-01-09T06:56:03,2019-01-09T18:37:12,0.11,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2019-01-10,92.2,67.0,79.2,90.1,67.0,78.3,57.1,52.1,0.0,0,0.0,,0,0,13.9,5.6,208.0,1010.8,12.1,,244.8,21.3,9,,2019-01-10T06:56:23,2019-01-10T18:37:42,0.15,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2019-01-11,94.2,67.7,80.5,91.0,67.7,79.2,55.8,50.4,0.0,0,0.0,,0,0,14.8,9.2,49.2,1010.7,31.0,3.1,252.8,22.0,9,,2019-01-11T06:56:41,2019-01-11T18:38:12,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2019-01-12,94.9,64.3,80.1,91.0,64.3,78.4,47.5,38.7,0.0,0,0.0,,0,0,21.9,7.8,22.8,1010.0,57.0,,256.3,22.1,9,,2019-01-12T06:56:59,2019-01-12T18:38:42,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
