name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Osun, Ekiti, Nigeria",2022-01-01,94.0,69.9,80.0,93.6,69.9,79.9,62.4,60.9,0.0,0,0.0,,0,0,11.2,5.8,307.9,1011.8,59.4,,236.2,20.4,9,,2022-01-01T06:53:11,2022-01-01T18:33:14,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2022-01-02,95.6,65.4,79.5,92.1,65.4,78.3,47.9,35.1,0.0,0,0.0,,0,0,13.9,7.4,22.2,1010.7,42.2,,251.8,22.0,9,,2022-01-02T06:53:36,2022-01-02T18:33:45,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2022-01-03,92.2,66.3,79.1,88.3,66.3,77.6,42.8,29.2,0.0,0,0.0,,0,0,16.8,7.4,39.9,1010.9,64.0,,255.2,22.0,9,,2022-01-03T06:54:00,2022-01-03T18:34:17,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2022-01-04,90.9,69.0,78.7,87.5,69.0,77.5,44.8,31.3,0.0,0,0.0,,0,0,17.9,6.7,52.5,1011.6,91.2,5.0,240.0,20.6,9,,2022-01-04T06:54:24,2022-01-04T18:34:48,0.06,Overcast,Cloudy skies throughout the day.,cloudy,"65215099999,remote"
"Osun, Ekiti, Nigeria",2022-01-05,90.6,67.4,77.9,87.0,67.4,76.7,48.2,37.7,0.0,0,0.0,,0,0,16.3,7.2,35.9,1011.6,77.1,,247.0,21.3,9,,2022-01-05T06:54:46,2022-01-05T18:35:19,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2022-01-06,94.9,70.2,81.2,91.7,70.2,80.0,49.7,35.2,0.0,0,0.0,,0,0,15.2,6.5,61.5,1010.0,25.6,,254.5,22.0,9,,2022-01-06T06:55:08,2022-01-06T18:35:50,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2022-01-07,95.4,67.9,81.2,94.6,67.9,80.8,60.7,54.7,0.0,0,0.0,,0,0,12.8,6.0,229.0,1010.5,23.4,,242.6,21.1,9,,2022-01-07T06:55:30,2022-01-07T18:36:21,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2022-01-08,95.4,70.1,82.1,94.2,70.1,81.7,62.6,58.9,0.0,0,0.0,,0,0,13.0,4.7,251.8,1010.5,21.9,,237.1,20.6,9,,2022-01-08T06:55:50,2022-01-08T18:36:51,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2022-01-09,96.5,67.9,80.4,92.5,67.9,78.9,52.9,47.8,0.0,0,0.0,,0,0,19.2,7.2,2.5,1010.5,55.4,6.3,256.9,22.2,9,,2022-01-09T06:56:10,2022-01-09T18:37:22,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2022-01-10,96.0,64.3,80.9,92.4,64.3,79.7,47.7,33.5,0.0,0,0.0,,0,0,15.2,6.5,44.5,1008.8,54.2,14.1,257.8,22.3,9,10.0,2022-01-10T06:56:29,2022-01-10T18:37:52,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2022-01-11,93.8,69.3,80.5,91.2,69.3,79.3,58.0,55.1,0.0,0,0.0,,0,0,13.6,6.7,296.4,1009.8,20.2,15.0,250.4,21.6,9,10.0,2022-01-11T06:56:47,2022-01-11T18:38:22,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2022-01-12,94.9,69.3,80.2,93.1,69.3,79.8,62.9,62.6,0.0,0,0.0,,0,0,12.3,6.5,212.8,1011.0,29.2,15.0,249.1,21.5,9,10.0,2022-01-12T06:57:05,2022-01-12T18:38:51,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2022-01-13,95.8,70.1,81.3,93.6,70.1,80.6,63.7,63.7,0.0,0,0.0,,0,0,13.0,6.0,256.6,1012.5,65.3,14.6,252.8,21.8,9,30.0,2022-01-13T06:57:21,2022-01-13T18:39:20,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2022-01-14,96.0,72.2,82.5,92.6,72.2,80.9,56.3,53.3,0.0,0,0.0,,0,0,15.7,6.9,319.8,1012.7,75.4,14.1,252.1,21.9,9,10.0,2022-01-14T06:57:37,2022-01-14T18:39:49,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2022-01-15,94.4,67.4,79.3,89.9,67.4,77.8,49.5,46.0,0.0,0,0.0,,0,0,20.8,8.3,6.1,1011.8,70.7,15.0,246.5,21.3,9,10.0,2022-01-15T06:57:51,2022-01-15T18:40:17,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2022-01-16,93.1,66.5,78.6,88.7,66.5,77.1,47.4,40.7,0.0,0,0.0,,0,0,15.2,6.5,338.4,1012.3,93.4,14.2,249.7,21.6,9,10.0,2022-01-16T06:58:05,2022-01-16T18:40:45,0.45,Overcast,Cloudy skies throughout the day.,cloudy,"65215099999,remote"
"Osun, Ekiti, Nigeria",2022-01-17,93.6,64.3,77.7,90.0,64.3,76.6,52.7,48.8,0.0,0,0.0,,0,0,11.4,5.8,232.4,1013.0,79.8,14.5,260.5,22.4,9,10.0,2022-01-17T06:58:18,2022-01-17T18:41:12,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2022-01-18,89.7,67.2,77.7,86.3,67.2,76.7,54.9,53.0,0.0,0,0.0,,0,0,17.4,8.1,3.1,1014.2,95.4,14.2,263.0,22.7,9,10.0,2022-01-18T06:58:30,2022-01-18T18:41:39,0.5,Overcast,Cloudy skies throughout the day.,cloudy,"65215099999,remote"
"Osun, Ekiti, Nigeria",2022-01-19,89.9,63.8,76.7,86.5,63.8,75.6,49.5,43.6,0.0,0,0.0,,0,0,17.9,7.6,26.8,1013.8,91.9,14.5,261.2,22.6,9,10.0,2022-01-19T06:58:41,2022-01-19T18:42:06,0.55,Overcast,Cloudy skies throughout the day.,cloudy,"65215099999,remote"
"Osun, Ekiti, Nigeria",2022-01-20,91.7,65.2,78.1,88.4,65.2,77.0,43.9,30.4,0.0,0,0.0,,0,0,19.2,9.2,26.0,1012.8,67.9,14.5,261.9,22.6,9,10.0,2022-01-20T06:58:51,2022-01-20T18:42:32,0.59,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2022-01-21,91.7,66.5,78.0,88.0,66.5,76.7,42.1,28.6,0.0,0,0.0,,0,0,16.3,7.8,29.0,1012.1,84.5,14.5,264.4,22.7,9,10.0,2022-01-21T06:59:00,2022-01-21T18:42:57,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2022-01-22,96.0,66.3,79.3,94.5,66.3,77.9,42.5,28.4,0.0,0,0.0,,0,0,17.2,7.4,29.3,1011.9,7.5,14.0,266.8,23.1,9,10.0,2022-01-22T06:59:08,2022-01-22T18:43:22,0.66,Clear,Clear conditions throughout the day.,clear-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2022-01-23,93.3,63.9,78.1,89.1,63.9,76.7,39.2,26.0,0.0,0,0.0,,0,0,17.9,6.9,23.6,1011.6,0.0,15.0,269.8,23.3,9,10.0,2022-01-23T06:59:15,2022-01-23T18:43:46,0.69,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2022-01-24,94.9,64.3,79.2,90.9,64.3,77.6,41.2,27.6,0.0,0,0.0,,0,0,16.3,7.4,27.3,1010.6,3.8,14.5,271.6,23.4,9,10.0,2022-01-24T06:59:22,2022-01-24T18:44:10,0.73,Clear,Clear conditions throughout the day.,clear-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2022-01-25,91.5,65.4,78.5,87.6,65.4,77.0,37.7,24.1,0.0,0,0.0,,0,0,20.6,8.3,25.1,1010.6,2.9,15.0,273.2,23.5,9,10.0,2022-01-25T06:59:27,2022-01-25T18:44:33,0.75,Clear,Clear conditions throughout the day.,clear-day,remote
