name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Osun, Ekiti, Nigeria",2015-01-01,90.9,65.7,77.2,86.9,65.7,75.8,40.1,27.9,0.0,0,0.0,,0,0,16.1,6.7,16.8,1011.8,14.6,,255.6,22.1,9,,2015-01-01T06:53:03,2015-01-01T18:33:04,0.37,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2015-01-02,90.2,64.1,77.0,86.7,64.1,75.9,51.1,46.3,0.0,0,0.0,,0,0,13.9,7.2,16.5,1012.8,1.0,,254.6,22.0,9,,2015-01-02T06:53:28,2015-01-02T18:33:35,0.4,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2015-01-03,90.4,62.5,76.5,86.3,62.5,75.2,37.8,27.0,0.0,0,0.0,,0,0,19.2,7.6,51.0,1014.5,25.2,,259.1,22.4,9,,2015-01-03T06:53:52,2015-01-03T18:34:07,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2015-01-04,87.3,62.5,75.0,83.7,62.5,74.0,31.9,21.4,0.0,0,0.0,,0,0,20.6,8.3,32.6,1015.2,0.0,,261.6,22.8,9,,2015-01-04T06:54:16,2015-01-04T18:34:38,0.47,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2015-01-05,87.7,60.7,73.8,84.0,60.7,72.9,33.2,23.5,0.0,0,0.0,,0,0,18.3,8.3,23.1,1014.4,0.0,,262.3,23.0,9,,2015-01-05T06:54:39,2015-01-05T18:35:09,0.5,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2015-01-06,88.4,62.3,74.9,84.6,62.3,73.7,35.6,25.0,0.0,0,0.0,,0,0,17.4,7.8,20.5,1013.2,47.4,,262.5,23.0,9,,2015-01-06T06:55:01,2015-01-06T18:35:40,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2015-01-07,88.1,62.7,75.7,84.4,62.7,74.6,37.7,26.3,0.0,0,0.0,,0,0,18.3,7.6,37.8,1013.3,41.6,,262.3,23.0,9,,2015-01-07T06:55:23,2015-01-07T18:36:11,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2015-01-08,89.7,64.5,77.1,85.7,64.5,75.9,37.0,24.3,0.0,0,0.0,,0,0,16.8,7.8,43.7,1014.0,5.2,,262.0,22.9,9,,2015-01-08T06:55:43,2015-01-08T18:36:42,0.61,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2015-01-09,87.0,65.0,76.2,83.5,65.0,75.2,36.3,24.2,0.0,0,0.0,,0,0,21.3,8.1,40.5,1015.3,21.0,,262.5,22.8,9,,2015-01-09T06:56:03,2015-01-09T18:37:12,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2015-01-10,85.7,62.1,74.0,82.4,62.1,73.1,30.7,21.6,0.0,0,0.0,,0,0,22.1,8.9,38.8,1015.4,69.5,,269.8,23.4,9,,2015-01-10T06:56:23,2015-01-10T18:37:42,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2015-01-11,85.7,60.7,73.1,82.4,60.7,72.2,28.4,19.7,0.0,0,0.0,,0,0,17.2,8.9,35.6,1015.3,5.6,,270.4,23.5,9,,2015-01-11T06:56:41,2015-01-11T18:38:12,0.7,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2015-01-12,86.1,60.3,73.3,82.7,60.3,72.3,28.6,19.8,0.0,0,0.0,,0,0,19.2,8.5,28.0,1014.2,0.0,,271.3,23.5,9,,2015-01-12T06:56:59,2015-01-12T18:38:42,0.74,Clear,Clear conditions throughout the day.,clear-day,remote
