name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Osun, Ekiti, Nigeria",2023-01-01,92.7,63.2,77.9,89.1,63.2,76.5,41.8,28.8,0.0,0,0.0,,0,0,17.2,7.8,24.2,1011.7,1.2,15.0,259.0,22.4,9,10,2023-01-01T06:53:06,2023-01-01T18:33:07,0.31,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2023-01-02,93.5,63.8,78.6,89.8,63.8,77.1,41.3,27.4,0.0,0,0.0,,0,0,16.3,7.6,27.0,1011.6,70.1,15.0,254.9,22.0,9,10,2023-01-02T06:53:31,2023-01-02T18:33:38,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2023-01-03,91.5,65.2,78.4,88.3,65.2,77.2,43.4,29.5,0.0,0,0.0,,0,0,17.7,7.4,29.3,1012.0,1.0,15.0,255.5,22.0,9,10,2023-01-03T06:53:55,2023-01-03T18:34:09,0.38,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2023-01-04,93.3,65.9,79.6,90.1,65.9,78.3,46.3,32.4,0.0,0,0.0,,0,0,18.1,7.2,36.5,1011.8,31.2,15.0,256.6,22.0,9,10,2023-01-04T06:54:19,2023-01-04T18:34:41,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2023-01-05,93.3,65.0,79.1,89.5,65.0,77.8,45.4,32.2,0.0,0,0.0,,0,0,17.9,6.0,52.9,1011.9,80.6,15.0,247.8,21.4,9,10,2023-01-05T06:54:41,2023-01-05T18:35:12,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2023-01-06,91.8,63.9,78.9,88.8,63.9,77.6,52.1,44.0,0.0,0,0.0,,0,0,15.7,7.4,47.2,1013.0,67.4,15.0,247.2,21.4,9,10,2023-01-06T06:55:04,2023-01-06T18:35:43,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2023-01-07,94.6,67.7,81.3,91.4,67.7,80.0,49.1,34.0,0.0,0,0.0,,0,0,19.2,6.9,46.8,1012.3,2.6,15.0,258.4,22.3,9,10,2023-01-07T06:55:25,2023-01-07T18:36:14,0.5,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2023-01-08,95.3,63.9,80.4,92.0,63.9,78.9,45.8,32.0,0.0,0,0.0,,0,0,17.9,7.2,33.7,1012.3,27.4,15.0,261.5,22.8,9,10,2023-01-08T06:55:46,2023-01-08T18:36:44,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2023-01-09,96.0,68.8,81.4,92.0,68.8,79.8,42.8,27.2,0.0,0,0.0,,0,0,19.0,8.3,40.4,1012.8,24.4,15.0,265.9,23.0,9,10,2023-01-09T06:56:06,2023-01-09T18:37:15,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2023-01-10,95.6,65.4,80.0,91.2,65.4,78.4,40.1,25.7,0.0,0,0.0,,0,0,17.0,8.3,35.2,1013.8,0.0,15.0,267.5,23.2,9,10,2023-01-10T06:56:25,2023-01-10T18:37:45,0.62,Clear,Clear conditions throughout the day.,clear-day,remote
