name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Osun, Ekiti, Nigeria",2020-01-01,90.1,64.7,76.3,86.2,64.7,75.1,39.4,27.7,0.0,0,0.0,,0,0,21.7,7.8,14.8,1011.6,42.1,,256.4,22.2,9,,2020-01-01T06:52:57,2020-01-01T18:32:57,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2020-01-02,85.7,63.8,73.0,83.0,63.8,72.4,40.1,31.1,0.0,0,0.0,,0,0,23.9,18.3,17.6,1013.3,31.1,5.0,256.4,22.2,9,,2020-01-02T06:53:23,2020-01-02T18:33:28,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2020-01-03,87.2,57.8,70.1,83.9,57.8,69.6,39.0,33.6,0.0,0,0.0,,0,0,21.3,8.7,22.2,1014.0,22.1,5.0,257.4,22.2,9,,2020-01-03T06:53:47,2020-01-03T18:34:00,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2020-01-04,86.4,59.3,71.8,83.3,59.3,71.1,40.7,34.0,0.0,0,0.0,,0,0,17.2,8.1,26.0,1013.5,46.0,,254.4,22.0,9,,2020-01-04T06:54:11,2020-01-04T18:34:31,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2020-01-05,87.5,62.0,74.4,84.3,62.0,73.6,44.8,36.2,0.0,0,0.0,,0,0,18.6,10.3,42.0,1012.0,70.4,2.5,248.9,21.6,9,,2020-01-05T06:54:34,2020-01-05T18:35:02,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2020-01-06,90.6,66.6,78.3,88.2,66.6,77.3,49.4,37.8,0.0,0,0.0,,0,0,12.3,6.9,59.2,1011.0,62.4,1.9,228.0,19.8,8,,2020-01-06T06:54:56,2020-01-06T18:35:33,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2020-01-07,92.2,68.3,79.6,89.8,68.3,78.7,52.7,40.9,0.0,0,0.0,,0,0,15.0,9.2,50.9,1010.5,39.6,4.1,238.6,20.5,9,,2020-01-07T06:55:18,2020-01-07T18:36:04,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2020-01-08,93.6,69.2,80.5,92.2,69.2,79.8,55.2,43.9,0.0,0,0.0,,0,0,15.4,8.1,37.3,1011.5,47.5,1.5,239.3,20.6,9,,2020-01-08T06:55:39,2020-01-08T18:36:35,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2020-01-09,94.4,65.9,80.8,91.5,65.9,79.6,51.9,39.8,0.0,0,0.0,,0,0,15.0,6.7,25.4,1011.4,50.6,4.3,253.6,22.0,9,,2020-01-09T06:55:59,2020-01-09T18:37:05,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2020-01-10,92.4,67.4,79.4,91.5,67.4,79.5,60.8,55.9,0.0,0,0.0,,0,0,15.2,10.3,194.5,1012.6,52.5,5.0,227.9,19.7,8,,2020-01-10T06:56:18,2020-01-10T18:37:36,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65215099999,remote"
